236,And this was it for our sales summary.,78,46,1430166,6,233,1,39,38,,,,,,,
237,"And now I'll go over our financial summaries, starting from page number nine.",79,46,1430166,6,0,0,40,77,,,,,,,
238,Page nine shows the consolidated income statement with increased number of unit sales and increased average selling price.,79,46,1430166,6,77,1,41,122,,,,,,,
239,"Our sales revenue increased by 18.2% against the same period last year, and recorded KRW57.3 trillion during the first nine months of 2011.",79,46,1430166,6,199,2,42,139,,,,,,,
240,"And gross profit increased by 20.1% to KRW13.96 trillion, and at the same time, the rate of cost of goods sold decreased by 0.4% point to record 75.6%, and improving cost of goods sold was mainly supported by cost savings from ongoing platform integration.",80,46,1430166,6,0,0,43,256,,,,,,,
241,SG&A was increased by 13.9% and recorded KRW8 trillion.,81,46,1430166,6,0,0,44,55,,,,,,,
242,"The proportion of SG&A in sales revenue was 14.0% and operating profit margin was 10.4%, which was 0.7% point increase against last year.",81,46,1430166,6,55,1,45,137,,,,,,,
243,"And including non-controlling interest, recurring profit and net profit increased by 35.9% and 34.1%, respectively, and reached KRW7.9 trillion and KRW6.1 trillion each.",81,46,1430166,6,192,2,46,169,,,,,,,
244,And it was mainly benefited from increase in equity income.,81,46,1430166,6,361,3,47,59,,,,,,,
245,"Now, let's turn to the review of each business sector on next page.",82,46,1430166,6,0,0,48,67,,,,,,,
246,"Sales revenue of automotive division was KRW49.1 trillion, up by KRW8 trillion from last year's accumulated revenue under third quarter.",82,46,1430166,6,67,1,49,136,,,,,,,
247,"And its proportion in total revenue is 85.7%, revenue in finance division increased by KRW866 billion, and revenue in rest of -- the other divisions are decreased by KRW62.3 billion.",82,46,1430166,6,203,2,50,182,,,,,,,
248,"And as a result, the total sales revenue increased by KRW8.8 trillion to total KRW57.3 trillion.",82,46,1430166,6,385,3,51,96,,,,,,,
249,"Operating profit of automotive division before consolidation adjustment was KRW4.9 trillion, up by KRW1.3 trillion against last year.",83,46,1430166,6,0,0,52,133,,,,,,,
250,"And finance and other divisions recorded KRW1.1 trillion and KRW138 billion, respectively.",83,46,1430166,6,133,1,53,90,,,,,,,
251,"And total operating profit after applying consolidation adjustment is KRW5.9 trillion, which is KRW1.3 trillion increase from last year's first nine months.",83,46,1430166,6,223,2,54,156,,,,,,,
252,"And now, let's move on to the consolidated balance sheet on next page.",84,46,1430166,6,0,0,55,70,,,,,,,
253,And cash and cash equivalents increased by KRW1.6 trillion to record KRW15.2 trillion.,84,46,1430166,6,70,1,56,86,,,,,,,
